name,address,lng,lat
马勒别墅,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.318108,31.018107
回龙镇,上海市松江区虬长路车墩菜场西侧,121.313981,31.020925
新世界(北),上海市松江区车墩镇北松公路4915号上海影视乐园内,121.316603,31.01768
石库门里弄群,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.318961,31.017346
十六铺码头,上海市松江区车墩镇北松公路4915号上海影视乐园,121.316444,31.018026
老爷车展厅,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.31618,31.018283
上海影视乐园,上海市松江区车墩镇车亭公路211号,121.318804,31.016708
老街,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.320901,31.017555
外滩公园,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.319779,31.015792
浙江路桥,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.320427,31.017421
马勒别墅,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.318108,31.018107
健康主题公园,上海市松江区车墩人口文化广场内(北侧),121.321671,31.020941
车墩天主堂,上海市松江区车峰路186号,121.325636,31.016268
鸟岛,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.321414,31.015412
石库门里弄群,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.318961,31.017346
上海影视乐园-置景场地,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.319024,31.01843
中泾天主堂,上海市松江区新兴村南新224号,121.336135,31.032065
马桥公园,上海市闵行区富岩路298弄15号,121.376495,31.036834
水生园,闵行区东川路3366号,121.380018,31.00932
天主教上海教区杨家圣母圣诞堂,上海市闵行区昆阳路2038弄385号,121.368976,31.029529
万寿庵,上海市闵行区马桥镇东街29号,121.380188,31.035338
古藤园,上海市闵行区临沧路148号(东川路江川路间),121.393794,31.008877
马桥公园,上海市闵行区富岩路298弄15号,121.376495,31.036834
水生园,闵行区东川路3366号,121.380018,31.00932
基督教闵行福音堂,上海市闵行区马桥镇友好村华宁路245号,121.400832,31.021193
俞塘民众教育纪念馆,上海市闵行区俞塘村1弄2号临,121.38874,31.038665
马桥天主堂,上海市闵行区马桥镇东街25号,121.380805,31.035674
西洋园,上海市闵行区东川路3333,121.38082,31.007064
万寿庵,上海市闵行区马桥镇东街29号,121.380188,31.035338
景德大门,上海市闵行区东川路3285号强生(中国)有限公司液装车间,121.383297,31.007865
天主教上海教区杨家圣母圣诞堂,上海市闵行区昆阳路2038弄385号,121.368976,31.029529
闵行科技馆,上海市闵行区鹤庆路900号上海寰悦广场F1,121.410993,31.013494
基督教闵行福音堂,上海市闵行区马桥镇友好村华宁路245号,121.400832,31.021193
银杏公园,上海市闵行区东川路与金平路交叉路口往南约50米,121.417654,31.016918
古藤园,上海市闵行区临沧路148号(东川路江川路间),121.393794,31.008877
红园,上海市闵行区江川路354号,121.420729,31.009665
识默轩美术馆,上海市闵行区鹤庆路560弄89号,121.417355,31.016251
闵行公园,上海市闵行区沪闵路249号,121.430983,31.014831
闵行绿道,上海市闵行区东川路绿家园东北侧约40米,121.427881,31.020171
闵行科技馆,上海市闵行区鹤庆路900号上海寰悦广场F1,121.410993,31.013494
思源湖,上海市闵行区东川路800号上海交通大学闵行校区,121.435963,31.027356
银杏公园,上海市闵行区东川路与金平路交叉路口往南约50米,121.417654,31.016918
红园,上海市闵行区江川路354号,121.420729,31.009665
游乐场,上海市闵行区闵行公园内,121.432207,31.015017
樱花林,上海市闵行区沧源路与东川路交叉路口往西约170米,121.432461,31.022287
龙音寺,上海市闵行区江川路街道闵东路1号,121.437278,31.00917
上海交通大学-园林植物标本园(闵行校区),上海市闵行区东川路800号上海交通大学闵行校区(新图书馆后),121.441867,31.034106
上海交通大学-植物园,上海市闵行区学森路与纬七路交叉口东150米,121.442594,31.034103
闵行公园,上海市闵行区沪闵路249号,121.430983,31.014831
思源湖,上海市闵行区东川路800号上海交通大学闵行校区,121.435963,31.027356
游乐场,上海市闵行区闵行公园内,121.432207,31.015017
龙音寺,上海市闵行区江川路街道闵东路1号,121.437278,31.00917
上海交通大学-园林植物标本园(闵行校区),上海市闵行区东川路800号上海交通大学闵行校区(新图书馆后),121.441867,31.034106
蔷薇园,上海市闵行区思源北路上海交通大学(闵行校区),121.448495,31.034777
闵行绿道,上海市闵行区东川路绿家园东北侧约40米,121.427881,31.020171
樱花林,上海市闵行区沧源路与东川路交叉路口往西约170米,121.432461,31.022287
